"site","cam_id","date","jday","hour","tod","image_type","photo_count","SCMU_hourly_det","CORA_hourly_det"
"Lava1","cam_01",2021-02-12,43,18,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,19,"night","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,19,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,20,"night","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,20,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,21,"night","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,21,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,22,"night","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,22,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,23,"night","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,23,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,0,"night","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,0,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,1,"night","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,1,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,2,"night","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,2,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,3,"night","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,3,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,4,"night","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,4,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,5,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,5,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,6,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,6,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,7,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,7,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,8,"day","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,8,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,9,"day","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,9,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,10,"day","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,10,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,11,"day","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,11,"day","timelapse",6,0,0
