"site","cam_id","date","jday","hour","image_type","SCMU_hourly_det","CORA_hourly_det"
"Lava1","cam_01",2021-02-19,50,14,"timelapse",0,0
"Lava1","cam_01",2021-02-19,50,15,"timelapse",0,0
"Lava1","cam_01",2021-02-19,50,16,"timelapse",0,0
"Lava1","cam_01",2021-02-19,50,17,"timelapse",0,0
"Lava1","cam_01",2021-02-19,50,18,"timelapse",0,0
"Lava1","cam_01",2021-02-19,50,19,"timelapse",1,0
"Lava1","cam_01",2021-02-19,50,20,"timelapse",0,0
"Lava1","cam_01",2021-02-19,50,21,"timelapse",1,0
"Lava1","cam_01",2021-02-19,50,22,"timelapse",0,0
"Lava1","cam_01",2021-02-19,50,23,"timelapse",1,0
"Lava1","cam_01",2021-02-20,51,0,"timelapse",0,0
"Lava1","cam_01",2021-02-20,51,1,"timelapse",0,0
"Lava1","cam_01",2021-02-20,51,2,"timelapse",0,0
"Lava1","cam_01",2021-02-20,51,3,"timelapse",0,0
"Lava1","cam_01",2021-02-20,51,4,"timelapse",0,0
"Lava1","cam_01",2021-02-20,51,5,"timelapse",0,0
"Lava1","cam_01",2021-02-20,51,6,"timelapse",0,0
"Lava1","cam_01",2021-02-20,51,7,"timelapse",0,0
"Lava1","cam_01",2021-02-20,51,8,"timelapse",0,0
"Lava1","cam_01",2021-02-20,51,9,"timelapse",0,0
"Lava1","cam_01",2021-02-20,51,10,"timelapse",0,0
"Lava1","cam_01",2021-02-20,51,11,"timelapse",0,0
"Lava1","cam_01",2021-02-20,51,12,"timelapse",0,0
"Lava1","cam_01",2021-02-20,51,13,"timelapse",0,0
"Lava1","cam_01",2021-02-20,51,14,"timelapse",0,0
"Lava1","cam_01",2021-02-20,51,15,"timelapse",0,0
"Lava1","cam_01",2021-02-20,51,16,"timelapse",0,0
"Lava1","cam_01",2021-02-20,51,17,"timelapse",0,0
"Lava1","cam_01",2021-02-20,51,18,"timelapse",0,0
"Lava1","cam_01",2021-02-20,51,19,"timelapse",0,0
"Lava1","cam_01",2021-02-20,51,20,"timelapse",0,0
"Lava1","cam_01",2021-02-20,51,21,"timelapse",0,0
"Lava1","cam_01",2021-02-20,51,22,"timelapse",0,0
"Lava1","cam_01",2021-02-20,51,23,"timelapse",0,0
"Lava1","cam_01",2021-02-21,52,0,"timelapse",0,0
"Lava1","cam_01",2021-02-21,52,1,"timelapse",0,0
"Lava1","cam_01",2021-02-21,52,2,"timelapse",0,0
"Lava1","cam_01",2021-02-21,52,3,"timelapse",0,0
"Lava1","cam_01",2021-02-21,52,4,"timelapse",0,0
"Lava1","cam_01",2021-02-21,52,5,"timelapse",0,0
"Lava1","cam_01",2021-02-21,52,6,"timelapse",0,0
"Lava1","cam_01",2021-02-21,52,7,"timelapse",0,0
"Lava1","cam_01",2021-02-21,52,8,"timelapse",0,0
"Lava1","cam_01",2021-02-21,52,9,"timelapse",0,0
"Lava1","cam_01",2021-02-21,52,10,"timelapse",0,0
"Lava1","cam_01",2021-02-21,52,11,"timelapse",0,0
"Lava1","cam_01",2021-02-21,52,12,"timelapse",0,0
"Lava1","cam_01",2021-02-21,52,13,"timelapse",0,0
"Lava1","cam_01",2021-02-21,52,14,"timelapse",0,0
"Lava1","cam_01",2021-02-21,52,15,"timelapse",0,0
"Lava1","cam_01",2021-02-21,52,16,"timelapse",0,0
"Lava1","cam_01",2021-02-21,52,17,"timelapse",0,0
"Lava1","cam_01",2021-02-21,52,18,"timelapse",0,0
"Lava1","cam_01",2021-02-21,52,19,"timelapse",0,0
"Lava1","cam_01",2021-02-21,52,20,"timelapse",0,0
"Lava1","cam_01",2021-02-21,52,21,"timelapse",0,0
"Lava1","cam_01",2021-02-21,52,22,"timelapse",0,0
"Lava1","cam_01",2021-02-21,52,23,"timelapse",0,0
"Lava1","cam_01",2021-02-22,53,0,"timelapse",0,0
"Lava1","cam_01",2021-02-22,53,1,"timelapse",0,0
"Lava1","cam_01",2021-02-22,53,2,"motion",1,0
"Lava1","cam_01",2021-02-22,53,2,"timelapse",1,0
"Lava1","cam_01",2021-02-22,53,3,"timelapse",0,0
"Lava1","cam_01",2021-02-22,53,4,"timelapse",0,0
"Lava1","cam_01",2021-02-22,53,5,"timelapse",0,0
"Lava1","cam_01",2021-02-22,53,6,"timelapse",0,0
"Lava1","cam_01",2021-02-22,53,7,"timelapse",0,0
"Lava1","cam_01",2021-02-22,53,8,"timelapse",0,0
"Lava1","cam_01",2021-02-22,53,9,"timelapse",0,0
"Lava1","cam_01",2021-02-22,53,10,"timelapse",0,0
"Lava1","cam_01",2021-02-22,53,11,"timelapse",0,0
"Lava1","cam_01",2021-02-22,53,12,"timelapse",0,0
"Lava1","cam_01",2021-02-22,53,13,"timelapse",0,0
"Lava1","cam_01",2021-02-22,53,14,"timelapse",0,0
"Lava1","cam_01",2021-02-22,53,15,"timelapse",0,0
"Lava1","cam_01",2021-02-22,53,16,"timelapse",0,0
"Lava1","cam_01",2021-02-22,53,17,"timelapse",0,0
"Lava1","cam_01",2021-02-22,53,18,"timelapse",0,0
"Lava1","cam_01",2021-02-22,53,19,"timelapse",1,0
"Lava1","cam_01",2021-02-22,53,20,"timelapse",0,0
"Lava1","cam_01",2021-02-22,53,21,"timelapse",0,0
"Lava1","cam_01",2021-02-22,53,22,"timelapse",0,0
"Lava1","cam_01",2021-02-22,53,23,"timelapse",0,0
"Lava1","cam_01",2021-02-23,54,0,"timelapse",0,0
"Lava1","cam_01",2021-02-23,54,1,"timelapse",0,0
"Lava1","cam_01",2021-02-23,54,2,"timelapse",0,0
"Lava1","cam_01",2021-02-23,54,3,"timelapse",0,0
"Lava1","cam_01",2021-02-23,54,4,"timelapse",0,0
"Lava1","cam_01",2021-02-23,54,5,"timelapse",0,0
"Lava1","cam_01",2021-02-23,54,6,"timelapse",0,0
"Lava1","cam_01",2021-02-23,54,7,"timelapse",0,0
"Lava1","cam_01",2021-02-23,54,8,"timelapse",0,0
"Lava1","cam_01",2021-02-23,54,9,"timelapse",0,0
"Lava1","cam_01",2021-02-23,54,10,"timelapse",0,0
"Lava1","cam_01",2021-02-23,54,11,"timelapse",0,0
"Lava1","cam_01",2021-02-23,54,12,"timelapse",0,0
"Lava1","cam_01",2021-02-23,54,13,"timelapse",0,0
"Lava1","cam_01",2021-02-23,54,14,"timelapse",0,0
"Lava1","cam_01",2021-02-23,54,15,"timelapse",0,0
"Lava1","cam_01",2021-02-23,54,16,"timelapse",0,0
"Lava1","cam_01",2021-02-23,54,17,"timelapse",0,0
"Lava1","cam_01",2021-02-23,54,18,"timelapse",0,0
"Lava1","cam_01",2021-02-23,54,19,"timelapse",0,0
"Lava1","cam_01",2021-02-23,54,20,"timelapse",0,0
"Lava1","cam_01",2021-02-23,54,21,"timelapse",0,0
"Lava1","cam_01",2021-02-23,54,22,"timelapse",0,0
"Lava1","cam_01",2021-02-23,54,23,"timelapse",0,0
"Lava1","cam_01",2021-02-24,55,0,"timelapse",0,0
"Lava1","cam_01",2021-02-24,55,1,"timelapse",1,0
"Lava1","cam_01",2021-02-24,55,2,"timelapse",1,0
"Lava1","cam_01",2021-02-24,55,3,"timelapse",0,0
"Lava1","cam_01",2021-02-24,55,4,"timelapse",0,0
"Lava1","cam_01",2021-02-24,55,5,"timelapse",0,0
"Lava1","cam_01",2021-02-24,55,6,"timelapse",0,0
"Lava1","cam_01",2021-02-24,55,7,"timelapse",0,0
"Lava1","cam_01",2021-02-24,55,8,"timelapse",0,0
"Lava1","cam_01",2021-02-24,55,9,"timelapse",0,0
"Lava1","cam_01",2021-02-24,55,10,"timelapse",0,0
"Lava1","cam_01",2021-02-24,55,11,"timelapse",0,0
"Lava1","cam_01",2021-02-24,55,12,"timelapse",0,0
"Lava1","cam_01",2021-02-24,55,13,"timelapse",0,0
"Lava1","cam_01",2021-02-24,55,14,"timelapse",0,0
"Lava1","cam_01",2021-02-24,55,15,"timelapse",0,0
"Lava1","cam_01",2021-02-24,55,16,"timelapse",0,0
"Lava1","cam_01",2021-02-24,55,17,"timelapse",0,0
"Lava1","cam_01",2021-02-24,55,18,"timelapse",0,0
"Lava1","cam_01",2021-02-24,55,19,"timelapse",0,0
"Lava1","cam_01",2021-02-24,55,20,"timelapse",0,0
"Lava1","cam_01",2021-02-24,55,21,"timelapse",0,0
"Lava1","cam_01",2021-02-24,55,22,"timelapse",0,0
"Lava1","cam_01",2021-02-24,55,23,"timelapse",0,0
"Lava1","cam_01",2021-02-25,56,0,"timelapse",0,0
"Lava1","cam_01",2021-02-25,56,1,"timelapse",0,0
"Lava1","cam_01",2021-02-25,56,2,"timelapse",0,0
"Lava1","cam_01",2021-02-25,56,3,"timelapse",0,0
"Lava1","cam_01",2021-02-25,56,4,"timelapse",0,0
"Lava1","cam_01",2021-02-25,56,5,"timelapse",0,0
"Lava1","cam_01",2021-02-25,56,6,"timelapse",0,0
"Lava1","cam_01",2021-02-25,56,7,"timelapse",0,0
"Lava1","cam_01",2021-02-25,56,8,"timelapse",0,0
"Lava1","cam_01",2021-02-25,56,9,"timelapse",0,0
"Lava1","cam_01",2021-02-25,56,10,"timelapse",0,0
"Lava1","cam_01",2021-02-25,56,11,"timelapse",0,0
"Lava1","cam_01",2021-02-25,56,12,"timelapse",0,0
"Lava1","cam_01",2021-02-25,56,13,"timelapse",0,0
"Lava1","cam_01",2021-02-25,56,14,"timelapse",0,0
"Lava1","cam_01",2021-02-25,56,15,"timelapse",0,0
"Lava1","cam_01",2021-02-25,56,16,"timelapse",0,0
"Lava1","cam_01",2021-02-25,56,17,"timelapse",0,0
"Lava1","cam_01",2021-02-25,56,18,"timelapse",0,0
"Lava1","cam_01",2021-02-25,56,19,"timelapse",0,0
"Lava1","cam_01",2021-02-25,56,20,"timelapse",0,0
"Lava1","cam_01",2021-02-25,56,21,"timelapse",0,0
"Lava1","cam_01",2021-02-25,56,22,"timelapse",0,0
"Lava1","cam_01",2021-02-25,56,23,"timelapse",0,0
"Lava1","cam_01",2021-02-26,57,0,"timelapse",0,0
"Lava1","cam_01",2021-02-26,57,1,"timelapse",0,0
"Lava1","cam_01",2021-02-26,57,2,"timelapse",0,0
"Lava1","cam_01",2021-02-26,57,3,"timelapse",0,0
"Lava1","cam_01",2021-02-26,57,4,"timelapse",0,0
"Lava1","cam_01",2021-02-26,57,5,"timelapse",0,0
"Lava1","cam_01",2021-02-26,57,6,"timelapse",0,0
"Lava1","cam_01",2021-02-26,57,7,"timelapse",0,0
"Lava1","cam_01",2021-02-26,57,8,"timelapse",0,0
"Lava1","cam_01",2021-02-26,57,9,"timelapse",0,0
"Lava1","cam_01",2021-02-26,57,10,"timelapse",0,0
"Lava1","cam_01",2021-02-26,57,11,"timelapse",0,0
"Lava1","cam_01",2021-02-26,57,12,"timelapse",0,0
"Lava1","cam_01",2021-02-26,57,13,"timelapse",0,0
"Lava1","cam_01",2021-02-26,57,14,"timelapse",0,0
"Lava1","cam_01",2021-02-26,57,15,"timelapse",0,0
