"site","cam_id","date","jday","hour","tod","image_type","photo_count","SCMU_hourly_det","CORA_hourly_det"
"Lava1","cam_01",2021-02-15,46,2,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,2,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,3,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,3,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,4,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,4,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,5,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,5,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,6,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,6,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,7,"day","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,7,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,8,"day","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,8,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,9,"day","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,9,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,10,"day","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,10,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,11,"day","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,11,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,12,"day","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,12,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,13,"day","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,13,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,14,"day","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,14,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,15,"day","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,15,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,16,"day","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,16,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,17,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,17,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,18,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,18,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,19,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,19,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,20,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,20,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,21,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,21,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,22,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,22,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,23,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,23,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,0,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,0,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,1,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,1,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,2,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,2,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,3,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,3,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,4,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,4,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,5,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,5,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,6,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,6,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,7,"day","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,7,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,8,"day","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,8,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,9,"day","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,9,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,10,"day","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,10,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,11,"day","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,11,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,12,"day","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,12,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,13,"day","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,13,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,14,"day","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,14,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,15,"day","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,15,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,16,"day","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,16,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,17,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,17,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,18,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,18,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,19,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,19,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,20,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,20,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,21,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,21,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,22,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,22,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,23,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,23,"dusk","timelapse",6,1,0
"Lava1","cam_01",2021-02-17,48,0,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,0,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,1,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,1,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,2,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,2,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,3,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,3,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,4,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,4,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,5,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,5,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,6,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,6,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,7,"day","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,7,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,8,"day","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,8,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,9,"day","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,9,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,10,"day","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,10,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,11,"day","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,11,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,12,"day","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,12,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,13,"day","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,13,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,14,"day","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,14,"day","timelapse",6,0,0
