Begin.File,site,cam_id,date,time,date_time,yr,mnth,d,jday,hr,min,sec,time.since2,beaf,SCMU,CORA,tod
PWR01_20210216_050000.wav,Lava2,cam_02,2021-02-16,05:00:00,2021-02-16T05:00:00Z,2021,2,16,47,5,0,0,0,now,1,0,dawn
PWR01_20210218_235000.wav,Lava2,cam_02,2021-02-18,23:50:00,2021-02-18T23:50:00Z,2021,2,18,49,23,50,0,600,after,1,0,dusk
PWR01_20210219_001000.wav,Lava2,cam_02,2021-02-19,00:10:00,2021-02-19T00:10:00Z,2021,2,19,50,0,10,0,-600,before,1,0,dawn
PWR01_20210223_035000.wav,Lava2,cam_02,2021-02-23,03:50:00,2021-02-23T03:50:00Z,2021,2,23,54,3,50,0,-600,before,1,0,dawn
PWR01_20210223_103000.wav,Lava2,cam_02,2021-02-23,10:30:00,2021-02-23T10:30:00Z,2021,2,23,54,10,30,0,651,after,0,1,day
PWR01_20210311_133000.wav,Lava2,cam_02,2021-03-11,13:30:00,2021-03-11T13:30:00Z,2021,3,11,70,13,30,0,-363,before,0,1,day
PWR01_20210312_142000.wav,Lava2,cam_02,2021-03-12,14:20:00,2021-03-12T14:20:00Z,2021,3,12,71,14,20,0,-206,before,0,1,day
PWR01_20210312_143000.wav,Lava2,cam_02,2021-03-12,14:30:00,2021-03-12T14:30:00Z,2021,3,12,71,14,30,0,-296,before,0,1,day
PWR04_20210215_013000.wav,Moss,cam_03,2021-02-15,01:30:00,2021-02-15T01:30:00Z,2021,2,15,46,1,30,0,0,now,1,0,dawn
PWR04_20210219_033000.wav,Moss,cam_03,2021-02-19,03:30:00,2021-02-19T03:30:00Z,2021,2,19,50,3,30,0,0,now,1,0,dawn
PWR04_20210219_050000.wav,Moss,cam_03,2021-02-19,05:00:00,2021-02-19T05:00:00Z,2021,2,19,50,5,0,0,666,after,1,0,dawn
PWR04_20210219_052000.wav,Moss,cam_03,2021-02-19,05:20:00,2021-02-19T05:20:00Z,2021,2,19,50,5,20,0,-534,before,1,0,dawn
PWR04_20210219_211000.wav,Moss,cam_03,2021-02-19,21:10:00,2021-02-19T21:10:00Z,2021,2,19,50,21,10,0,600,after,1,0,dusk
PWR04_20210220_045000.wav,Moss,cam_03,2021-02-20,04:50:00,2021-02-20T04:50:00Z,2021,2,20,51,4,50,0,0,now,1,0,dawn
PWR04_20210221_211000.wav,Moss,cam_03,2021-02-21,21:10:00,2021-02-21T21:10:00Z,2021,2,21,52,21,10,0,0,now,1,0,dusk
PWR04_20210221_214000.wav,Moss,cam_03,2021-02-21,21:40:00,2021-02-21T21:40:00Z,2021,2,21,52,21,40,0,-600,before,1,0,dusk
PWR04_20210221_220000.wav,Moss,cam_03,2021-02-21,22:00:00,2021-02-21T22:00:00Z,2021,2,21,52,22,0,0,600,after,1,0,dusk
PWR04_20210221_233000.wav,Moss,cam_03,2021-02-21,23:30:00,2021-02-21T23:30:00Z,2021,2,21,52,23,30,0,0,now,1,0,dusk
PWR04_20210222_033000.wav,Moss,cam_03,2021-02-22,03:30:00,2021-02-22T03:30:00Z,2021,2,22,53,3,30,0,1173,after,1,0,dawn
PWR04_20210222_034000.wav,Moss,cam_03,2021-02-22,03:40:00,2021-02-22T03:40:00Z,2021,2,22,53,3,40,0,600,after,0,0,dawn
PWR04_20210222_220000.wav,Moss,cam_04,2021-02-22,22:00:00,2021-02-22T22:00:00Z,2021,2,22,53,22,0,0,215,before,1,0,dusk
PWR04_20210226_212000.wav,Moss,cam_03,2021-02-26,21:20:00,2021-02-26T21:20:00Z,2021,2,26,57,21,20,0,-25,before,1,0,dusk
PWR04_20210227_201000.wav,Moss,cam_03,2021-02-27,20:10:00,2021-02-27T20:10:00Z,2021,2,27,58,20,10,0,-9,before,1,0,dusk
PWR04_20210228_211000.wav,Moss,cam_03,2021-02-28,21:10:00,2021-02-28T21:10:00Z,2021,2,28,59,21,10,0,-308,before,1,0,dusk
